cow_number;datetime;code_1_5;code_6_or_12;code_15;other_1;other_2
2;2019-04-16 12:49:23;4;12;0;0;0
2;2019-04-16 12:49:24;4;12;0;0;0
2;2019-04-16 12:49:25;4;12;0;0;0
2;2019-04-16 12:49:26;4;12;0;0;0
2;2019-04-16 12:49:27;4;12;0;0;0
2;2019-04-16 12:49:28;4;12;0;0;0
2;2019-04-16 12:49:29;4;12;0;0;0
2;2019-04-16 12:49:30;4;12;0;0;0
2;2019-04-16 12:49:31;4;12;0;0;0
2;2019-04-16 12:49:32;4;12;0;0;0
2;2019-04-16 12:49:33;4;12;0;0;0
2;2019-04-16 12:49:34;4;12;0;0;0
2;2019-04-16 12:49:35;4;12;0;0;0
2;2019-04-16 12:49:36;4;12;0;0;0
2;2019-04-16 12:49:37;4;12;0;0;0
2;2019-04-16 12:49:38;4;12;0;0;0
2;2019-04-16 12:49:39;4;12;0;0;0
2;2019-04-16 12:49:40;4;12;0;0;0
2;2019-04-16 12:49:41;4;12;0;0;0
2;2019-04-16 12:49:42;4;12;0;0;0
2;2019-04-16 12:49:43;4;12;0;0;0
2;2019-04-16 12:49:44;4;12;0;0;0
2;2019-04-16 12:49:45;4;12;0;0;0
2;2019-04-16 12:49:46;4;12;0;0;0
2;2019-04-16 12:49:47;4;12;0;0;0
2;2019-04-16 12:49:48;4;12;0;0;0
2;2019-04-16 12:49:49;4;12;0;0;0
2;2019-04-16 12:49:50;4;12;0;0;0
2;2019-04-16 12:49:51;4;12;0;0;0
2;2019-04-16 12:49:52;4;12;0;0;0
2;2019-04-16 12:49:53;4;12;0;0;0
2;2019-04-16 12:49:54;4;12;0;0;0
2;2019-04-16 12:49:55;4;12;0;0;0
2;2019-04-16 12:49:56;4;12;0;0;0
2;2019-04-16 12:49:57;4;12;0;0;0
2;2019-04-16 12:49:58;4;12;0;0;0
2;2019-04-16 12:49:59;4;12;0;0;0
2;2019-04-16 12:50:00;4;12;0;0;0
2;2019-04-16 12:50:01;4;12;0;0;0
2;2019-04-16 12:50:02;4;12;0;0;0
2;2019-04-16 12:50:03;4;12;0;0;0
2;2019-04-16 12:50:04;4;12;0;0;0
2;2019-04-16 12:50:05;4;12;0;0;0
2;2019-04-16 12:50:06;4;12;0;0;0
2;2019-04-16 12:50:07;4;12;0;0;0
2;2019-04-16 12:50:08;4;12;0;0;0
2;2019-04-16 12:50:09;4;12;0;0;0
2;2019-04-16 12:50:10;4;12;0;0;0
2;2019-04-16 12:50:11;4;12;0;0;0
2;2019-04-16 12:50:12;4;12;0;0;0
2;2019-04-16 12:50:13;4;12;0;0;0
2;2019-04-16 12:50:14;4;12;0;0;0
2;2019-04-16 12:50:15;4;12;0;0;0
2;2019-04-16 12:50:16;4;12;0;0;0
2;2019-04-16 12:50:17;4;12;0;0;0
2;2019-04-16 12:50:18;4;12;0;0;0
2;2019-04-16 12:50:19;4;12;0;0;0
2;2019-04-16 12:50:20;4;12;0;0;0
2;2019-04-16 12:50:21;4;12;0;0;0
2;2019-04-16 12:50:22;4;12;0;0;0
2;2019-04-16 12:50:23;4;12;0;0;0
2;2019-04-16 12:50:24;4;12;0;0;0
2;2019-04-16 12:50:25;4;12;0;0;0
2;2019-04-16 12:50:26;4;12;0;0;0
2;2019-04-16 12:50:27;4;12;0;0;0
2;2019-04-16 12:50:28;4;12;0;0;0
2;2019-04-16 12:50:29;4;12;0;0;0
2;2019-04-16 12:50:30;4;12;0;0;0
2;2019-04-16 12:50:31;4;12;0;0;0
2;2019-04-16 12:50:32;4;12;0;0;0
2;2019-04-16 12:50:33;4;12;0;0;0
2;2019-04-16 12:50:34;4;12;0;0;0
2;2019-04-16 12:50:35;4;12;0;0;0
2;2019-04-16 12:50:36;4;12;0;0;0
2;2019-04-16 12:50:37;4;12;0;0;0
2;2019-04-16 12:50:38;4;12;0;0;0
2;2019-04-16 12:50:39;4;12;0;0;0
2;2019-04-16 12:50:40;4;12;0;0;0
2;2019-04-16 12:50:41;4;12;0;0;0
2;2019-04-16 12:50:42;4;12;0;0;0
2;2019-04-16 12:50:43;4;12;0;0;0
2;2019-04-16 12:50:44;4;12;0;0;0
2;2019-04-16 12:50:45;4;12;0;0;0
2;2019-04-16 12:50:46;4;12;0;0;0
2;2019-04-16 12:50:47;4;12;0;0;0
2;2019-04-16 12:50:48;4;12;0;0;0
2;2019-04-16 12:50:49;4;12;0;0;0
2;2019-04-16 12:50:50;4;12;0;0;0
2;2019-04-16 12:50:51;4;12;0;0;0
2;2019-04-16 12:50:52;4;12;0;0;0
2;2019-04-16 12:50:53;4;12;0;0;0
2;2019-04-16 12:50:54;4;12;0;0;0
2;2019-04-16 12:50:55;4;12;0;0;0
2;2019-04-16 12:50:56;4;12;0;0;0
2;2019-04-16 12:50:57;4;12;0;0;0
2;2019-04-16 12:50:58;4;12;0;0;0
2;2019-04-16 12:50:59;4;12;0;0;0
2;2019-04-16 12:51:00;4;12;0;0;0
2;2019-04-16 12:51:01;4;12;0;0;0
2;2019-04-16 12:51:02;4;12;0;0;0
2;2019-04-16 12:51:03;4;12;0;0;0
2;2019-04-16 12:51:04;4;12;0;0;0
2;2019-04-16 12:51:05;4;12;0;0;0
2;2019-04-16 12:51:06;4;12;0;0;0
2;2019-04-16 12:51:07;4;12;0;0;0
2;2019-04-16 12:51:08;4;12;0;0;0
2;2019-04-16 12:51:09;4;12;0;0;0
2;2019-04-16 12:51:10;4;12;0;0;0
2;2019-04-16 12:51:11;4;12;0;0;0
2;2019-04-16 12:51:12;4;12;0;0;0
2;2019-04-16 12:51:13;4;12;0;0;0
2;2019-04-16 12:51:14;4;12;0;0;0
2;2019-04-16 12:51:15;4;12;0;0;0
2;2019-04-16 12:51:16;4;12;0;0;0
2;2019-04-16 12:51:17;4;12;0;0;0
2;2019-04-16 12:51:18;4;12;0;0;0
2;2019-04-16 12:51:19;4;12;0;0;0
2;2019-04-16 12:51:20;4;12;0;0;0
2;2019-04-16 12:51:21;4;12;0;0;0
2;2019-04-16 12:51:22;4;12;0;0;0
2;2019-04-16 12:51:23;4;12;0;0;0
2;2019-04-16 12:51:24;4;12;0;0;0
2;2019-04-16 12:51:25;4;12;0;0;0
2;2019-04-16 12:51:26;4;12;0;0;0
2;2019-04-16 12:51:27;4;12;0;0;0
2;2019-04-16 12:51:28;4;12;0;0;0
2;2019-04-16 12:51:29;4;12;0;0;0
2;2019-04-16 12:51:30;4;12;0;0;0
2;2019-04-16 12:51:31;4;12;0;0;0
2;2019-04-16 12:51:32;4;12;0;0;0
2;2019-04-16 12:51:33;4;12;0;0;0
2;2019-04-16 12:51:34;4;12;0;0;0
2;2019-04-16 12:51:35;4;12;0;0;0
2;2019-04-16 12:51:36;4;12;0;0;0
2;2019-04-16 12:51:37;4;12;0;0;0
2;2019-04-16 12:51:38;4;12;0;0;0
